Training 0.00 %,Trainning accuracy = 18.000001%, loss = 2.2903 
Training 0.05 %,Trainning accuracy = 27.999997%, loss = 2.1241 
Training 0.10 %,Trainning accuracy = 19.999999%, loss = 1.9341 
Training 0.15 %,Trainning accuracy = 27.999997%, loss = 1.7210 
Training 0.20 %,Trainning accuracy = 39.999998%, loss = 1.7014 
Training 0.25 %,Trainning accuracy = 31.999999%, loss = 1.8214 
Training 0.30 %,Trainning accuracy = 46.000001%, loss = 1.7351 
Training 0.35 %,Trainning accuracy = 35.999998%, loss = 1.5804 
Training 0.40 %,Trainning accuracy = 53.999996%, loss = 1.3772 
Training 0.45 %,Trainning accuracy = 41.999996%, loss = 1.6517 
Training 0.50 %,Trainning accuracy = 39.999998%, loss = 1.6262 
Training 0.55 %,Trainning accuracy = 44.000000%, loss = 1.5172 
Training 0.60 %,Trainning accuracy = 45.999998%, loss = 1.3689 
Training 0.65 %,Trainning accuracy = 35.999998%, loss = 1.5941 
Training 0.70 %,Trainning accuracy = 50.000000%, loss = 1.3345 
Training 0.75 %,Trainning accuracy = 45.999998%, loss = 1.4796 
Training 0.80 %,Trainning accuracy = 58.000004%, loss = 1.2831 
Training 0.85 %,Trainning accuracy = 38.000000%, loss = 1.4412 
Training 0.90 %,Trainning accuracy = 53.999996%, loss = 1.4557 
Training 0.95 %,Trainning accuracy = 46.000001%, loss = 1.6592 
Training 1.00 %,Trainning accuracy = 45.999998%, loss = 1.4664 
Training 1.05 %,Trainning accuracy = 56.000000%, loss = 1.3084 
Training 1.10 %,Trainning accuracy = 47.999999%, loss = 1.5450 
Training 1.15 %,Trainning accuracy = 53.999996%, loss = 1.2233 
Training 1.20 %,Trainning accuracy = 58.000004%, loss = 1.3001 
Training 1.25 %,Trainning accuracy = 56.000000%, loss = 1.2092 
Training 1.30 %,Trainning accuracy = 53.999996%, loss = 1.4551 
Training 1.35 %,Trainning accuracy = 45.999995%, loss = 1.3178 
Training 1.40 %,Trainning accuracy = 45.999998%, loss = 1.5753 
Training 1.45 %,Trainning accuracy = 63.999999%, loss = 1.2043 
